model_type,train_protocol,eval_profile,eval_protocol,scope,horizon_s,n_seeds_total,n_anomaly_excluded,n_rollout_diverged,n_seeds_used,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,posp95_max,completion_mean,excluded_seeds,diverged_seeds
ablate_no_lift,iid,nominal_eval,v4_lite,CHIRP,10.0,5,0,0,5,0.1555,0.1516,0.1332,0.1779,0.3083,0.3129,0.3344,,,
ablate_no_lift,iid,nominal_eval,v4_lite,CHIRP,30.0,5,0,0,5,0.4427,0.4308,0.3671,0.5118,1.1238,1.1358,1.2262,,,
ablate_no_lift,iid,nominal_eval,v4_lite,CHIRP,60.0,5,0,0,5,0.9594,0.9528,0.8659,1.1037,2.3745,2.2912,2.8471,,,
ablate_no_lift,iid,nominal_eval,v4_lite,OU,10.0,5,0,0,5,0.179,0.1805,0.1588,0.1929,0.3611,0.3391,0.4292,,,
ablate_no_lift,iid,nominal_eval,v4_lite,OU,30.0,5,0,0,5,0.5305,0.5372,0.4504,0.6103,1.2263,1.2239,1.5329,,,
ablate_no_lift,iid,nominal_eval,v4_lite,OU,60.0,5,0,0,5,1.2316,1.2178,1.1245,1.3911,3.8106,3.4436,4.7726,,,
ablate_no_lift,iid,nominal_eval,v4_lite,PRBS,10.0,5,0,0,5,0.1414,0.1469,0.114,0.1587,0.3608,0.3583,0.4178,,,
ablate_no_lift,iid,nominal_eval,v4_lite,PRBS,30.0,5,0,0,5,0.3915,0.4142,0.2587,0.4668,1.1667,1.2456,1.3194,,,
ablate_no_lift,iid,nominal_eval,v4_lite,PRBS,60.0,5,0,0,5,0.8889,0.7815,0.6297,1.33,2.7336,2.8721,3.6744,,,
ablate_no_lift,iid,nominal_eval,v4_lite,overall,10.0,5,0,0,5,0.162,0.1589,0.1394,0.1836,0.3585,0.3492,0.403,,,
ablate_no_lift,iid,nominal_eval,v4_lite,overall,30.0,5,0,0,5,0.4538,0.4606,0.4105,0.4844,1.2096,1.2475,1.3452,,,
ablate_no_lift,iid,nominal_eval,v4_lite,overall,60.0,5,0,0,5,1.0551,1.0417,0.9885,1.1342,3.0847,3.2832,3.4581,,,
ablate_no_lift,v4lite,clean,clean,CHIRP,10.0,5,0,0,5,0.0982,0.0967,0.069,0.143,0.1873,0.1503,0.3102,,,
ablate_no_lift,v4lite,clean,clean,CHIRP,30.0,5,0,0,5,0.4258,0.3031,0.214,1.0277,0.8148,0.6001,1.7823,,,
ablate_no_lift,v4lite,clean,clean,CHIRP,60.0,5,0,0,5,1.374,0.9228,0.4975,3.7354,2.3351,1.7425,5.3822,,,
ablate_no_lift,v4lite,clean,clean,OU,10.0,5,0,0,5,0.1484,0.1459,0.1024,0.1938,0.3234,0.3188,0.4062,,,
ablate_no_lift,v4lite,clean,clean,OU,30.0,5,0,0,5,0.4823,0.5125,0.2993,0.6672,1.306,1.3904,1.6323,,,
ablate_no_lift,v4lite,clean,clean,OU,60.0,5,0,0,5,1.1928,1.1762,0.685,1.8934,3.2798,2.8461,5.2487,,,
ablate_no_lift,v4lite,clean,clean,PRBS,10.0,5,0,0,5,0.114,0.1083,0.0948,0.1422,0.2871,0.2905,0.331,,,
ablate_no_lift,v4lite,clean,clean,PRBS,30.0,5,0,0,5,0.3851,0.3908,0.275,0.4516,0.9714,0.8905,1.4037,,,
ablate_no_lift,v4lite,clean,clean,PRBS,60.0,5,0,0,5,0.9789,1.0512,0.6803,1.2361,2.8268,2.8082,3.6141,,,
ablate_no_lift,v4lite,clean,clean,overall,10.0,5,0,0,5,0.1142,0.1087,0.0901,0.1515,0.2915,0.2864,0.3663,,,
ablate_no_lift,v4lite,clean,clean,overall,30.0,5,0,0,5,0.4111,0.3752,0.264,0.6732,1.1017,0.9615,1.667,,,
ablate_no_lift,v4lite,clean,clean,overall,60.0,5,0,0,5,1.1606,0.9433,0.6163,2.3826,3.1069,2.4847,5.2692,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,CHIRP,10.0,5,0,0,5,0.2611,0.2503,0.2341,0.3124,0.8007,0.8055,0.8376,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,CHIRP,30.0,5,0,0,5,0.7589,0.6568,0.5157,1.1829,2.2476,2.2053,2.4675,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,CHIRP,60.0,5,0,0,5,1.959,1.4094,1.257,3.939,5.2504,4.9098,6.747,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,OU,10.0,5,0,0,5,0.3647,0.3623,0.3243,0.3963,0.963,0.9486,1.1332,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,OU,30.0,5,0,0,5,1.0579,1.0265,0.9845,1.1831,2.8155,2.5945,3.8796,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,OU,60.0,5,0,0,5,2.2404,2.2036,2.081,2.5867,6.0695,6.0547,8.2984,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,PRBS,10.0,5,0,0,5,0.3072,0.3135,0.2829,0.3328,0.898,0.9033,0.9184,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,PRBS,30.0,5,0,0,5,0.8669,0.8253,0.7447,1.0977,2.5462,2.582,2.7053,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,PRBS,60.0,5,0,0,5,1.8023,1.6991,1.5825,2.1108,5.6596,5.5407,6.2899,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,overall,10.0,5,0,0,5,0.3003,0.3008,0.2819,0.3229,0.9308,0.9386,0.9957,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,overall,30.0,5,0,0,5,0.8818,0.8381,0.7607,1.1218,2.6539,2.5815,3.0491,,,
ablate_no_lift,v4lite,degraded_eval,iid_noisy_ic,overall,60.0,5,0,0,5,2.0069,1.8112,1.7446,2.7262,5.7702,5.4145,6.7748,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,CHIRP,10.0,5,0,0,5,0.4826,0.4703,0.4611,0.5225,0.7122,0.7061,0.7994,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,CHIRP,30.0,5,0,0,5,1.4546,1.4212,1.3801,1.558,2.347,2.18,3.1047,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,CHIRP,60.0,5,0,0,5,3.4134,3.2341,2.9601,4.398,5.5365,4.9627,8.3681,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,OU,10.0,5,0,0,5,0.5528,0.553,0.5295,0.5693,0.9832,0.9629,1.0482,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,OU,30.0,5,0,0,5,1.7152,1.7142,1.6163,1.8235,2.981,2.9466,3.2023,,,
ablate_no_lift,v4lite,heading_biased_eval,iid_noisy_ic,OU,60.0,5,0,0,5,3.5299,3.4229,3.103,4.4828,5.8624,5.5732,6.663,,,
