path,size_bytes,under_rollout_benchmark,referenced_by_tracked_doc,action,reason
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/diagnostic_plots/velocity_violation_OU_seed200061.png,588514,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/diagnostic_plots/velocity_violation_OU_seed200068.png,573821,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/error_growth.png,606815,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/example_rollouts.png,893270,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/terminal_error_boxplots.png,87345,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/diagnostic_plots/high_terminal_error_OU_seed200046.png,533066,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/diagnostic_plots/high_terminal_error_OU_seed200057.png,561752,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/diagnostic_plots/high_terminal_error_PRBS_seed42.png,593803,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/diagnostic_plots/rollout_failure_OU_seed200051.png,569178,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_032356/diagnostic_plots/rollout_failure_OU_seed200066.png,570925,1,0,purge,regenerable from the CSV/JSON beside it
