model_type,seed,epoch,train_total,test_total,train_so3_orth,train_success_rate
phnode_full,42,195,0.00392913,0.00409737,1.17301e-07,1
phnode_full,42,196,0.00393055,0.00413611,1.17003e-07,1
phnode_full,42,197,0.00393977,0.00411122,1.17158e-07,1
phnode_full,42,198,0.00392202,0.00409733,1.17157e-07,1
phnode_full,42,199,0.00392099,0.00409689,1.17241e-07,1
phnode_full,42,200,0.00393403,0.00408809,1.17218e-07,1
phnode_full,42,201,0.00392556,0.00411571,1.17076e-07,1
phnode_full,42,202,0.0039087,0.00408944,1.17175e-07,1
phnode_full,42,203,0.00391233,0.00409568,1.17105e-07,1
phnode_full,42,204,0.00391463,0.004105,1.17179e-07,1
phnode_full,42,205,0.00391744,0.00410234,1.17027e-07,1
phnode_full,42,206,0.00390602,0.0040753,1.17215e-07,1
phnode_full,42,207,0.00390301,0.00408578,1.17252e-07,1
phnode_full,42,208,0.00389787,0.0040832,1.17204e-07,1
phnode_full,42,209,0.00389469,0.00407073,1.17088e-07,1
phnode_full,42,210,0.00388935,0.00407622,1.17314e-07,1
phnode_full,42,211,0.00390054,0.00405842,1.17207e-07,1
phnode_full,42,212,0.00389071,0.00405455,1.1727e-07,1
phnode_full,42,213,0.00388653,0.00407882,1.17401e-07,1
phnode_full,42,214,0.00388854,0.00405699,1.1699e-07,1
phnode_full,42,215,0.00387748,0.00408046,1.17306e-07,1
phnode_full,42,216,0.0038833,0.00404348,1.17094e-07,1
phnode_full,42,217,0.00387618,0.00405546,1.17146e-07,1
phnode_full,42,218,0.003876,0.00404991,1.17336e-07,1
phnode_full,42,219,0.00387338,0.00410428,1.17256e-07,1
phnode_full,42,220,0.0038867,0.00406678,1.17209e-07,1
phnode_full,42,221,0.00387285,0.00407487,1.17234e-07,1
phnode_full,42,222,0.00387715,0.00404462,1.17047e-07,1
phnode_full,42,223,0.00387277,0.00405283,1.17199e-07,1
phnode_full,42,224,0.00387118,0.00405086,1.17416e-07,1
phnode_full,42,225,0.00385963,0.00404626,1.17265e-07,1
phnode_full,42,226,0.00386406,0.00403761,1.17296e-07,1
phnode_full,42,227,0.00386761,0.00404657,1.17307e-07,1
phnode_full,42,228,0.00387161,0.00404058,1.17163e-07,1
phnode_full,42,229,0.00386397,0.00404031,1.17326e-07,1
phnode_full,42,230,0.0038614,0.0040381,1.1712e-07,1
phnode_full,42,231,0.00386367,0.00403826,1.17226e-07,1
phnode_full,42,232,0.00386379,0.00403466,1.1712e-07,1
phnode_full,42,233,0.00386342,0.0040356,1.17231e-07,1
